Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Problem Start Time	Problem End Time	Latency (sec)	Steps Missing Start Times	Hints	Incorrects	Corrects	Avg Corrects	Steps	Avg Assistance Score	Correct First Attempts	Condition	KCs (Default)	Steps without KCs (Default)	KC List (Default)	KCs (Single-KC)	Steps without KCs (Single-KC)	KC List (Single-KC)	KCs (Unique-step)	Steps without KCs (Unique-step)	KC List (Unique-step)
1	All Data	bigalpaca	Assignment red, ProblemSet Red Level 1!	xplus2eq6-diagrams-first	1	2021-05-12 13:02:00	2021-05-12 13:08:00	360.000	0	1	58	5	0.833	6	9.833	1	none (none)	5	2	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	6	0	KC15, KC25, KC284, KC319, KC504, KC538
2	All Data	bigalpaca	Assignment red, ProblemSet Red Level 1!	xplus3eq5-diagrams-first	1	2021-05-12 13:08:00	2021-05-12 13:09:00	60.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC308, KC398, KC520, KC542, KC62
3	All Data	bigalpaca	Assignment red, ProblemSet Red Level 1!	xplus3eq8-diagrams-first	1	2021-05-12 13:09:00	2021-05-12 13:09:00	0.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC122, KC494, KC550, KC566, KC90
4	All Data	bigalpaca	Assignment red, ProblemSet Red Level 1!	xplus6eq8-diagrams-first	1	2021-05-12 13:10:00	2021-05-12 13:10:00	0.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC16, KC248, KC5, KC537, KC615
5	All Data	bigalpaca	Assignment red, ProblemSet Red Level 1!	1plusxeq7-diagrams-first	1	2021-05-12 13:10:00	2021-05-13 12:23:00	83580.000	0	0	16	5	1.000	5	3.200	3	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC156, KC293, KC357, KC382, KC414
6	All Data	bigalpaca	Assignment red, ProblemSet Red Level 1!	2plusxeq9-diagrams-first	1	2021-05-13 12:24:00	2021-05-13 12:24:00	0.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC167, KC214, KC374, KC544, KC619
7	All Data	bigalpaca	Assignment red, ProblemSet Red Level 1!	5plusxeq7-diagrams-first	1	2021-05-13 12:24:00	2021-05-13 12:25:00	60.000	0	0	2	5	1.000	5	0.400	4	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC172, KC192, KC313, KC371, KC40
8	All Data	bigalpaca	Assignment red, ProblemSet Red Level 1!	4plusxeq9-diagrams-first	1	2021-05-13 12:26:00	2021-05-13 12:26:00	0.000	0	1	0	5	1.000	5	0.200	4	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC163, KC254, KC506, KC556, KC61
9	All Data	bigalpaca	Assignment red, ProblemSet Red Level 2!	8eqxplus3-diagrams-first	1	2021-05-13 12:27:00	2021-05-13 12:28:00	60.000	0	1	3	5	0.833	6	0.667	3	none (none)	5	2	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	1	KC257, KC306, KC322, KC495, KC57
10	All Data	bigalpaca	Assignment red, ProblemSet Red Level 2!	3eqxplus1-diagrams-first	1	2021-05-13 12:28:00	2021-05-13 12:28:00	0.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC164, KC526, KC548, KC605, KC65
11	All Data	bigalpaca	Assignment red, ProblemSet Red Level 2!	9eq4plusx-diagrams-first	1	2021-05-13 12:28:00	2021-05-13 12:29:00	60.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC277, KC390, KC528, KC557, KC669
12	All Data	bigalpaca	Assignment red, ProblemSet Red Level 2!	10eq5plusx-diagrams-first	1	2021-05-13 12:29:00	2021-05-13 12:29:00	0.000	0	0	0	5	1.000	5	0.000	5	none (none)	5	1	cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	5	0	KC180, KC224, KC401, KC627, KC95
13	All Data	bigalpaca	Assignment red, ProblemSet Red Level 3!	2xplus3eq7-diagrams-first	1	2021-05-13 12:30:00	2021-05-13 12:31:00	60.000	0	0	0	8	1.000	8	0.000	8	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC323, KC36, KC406, KC41, KC530, KC560, KC580, KC84
14	All Data	bigalpaca	Assignment red, ProblemSet Red Level 3!	3xplus1eq10-diagrams-first	1	2021-05-13 12:31:00	2021-05-13 12:32:00	60.000	0	0	2	8	1.000	8	0.250	7	none (none)	8	1	cancel-const, combine-like-const, divide, division-simple, selectd-divide, selectd-given-eq, selectd-subtract-const, subtraction-const	1	0	Single-KC	8	0	KC102, KC146, KC326, KC345, KC408, KC474, KC594, KC668
