username,condition,CK_post,PK_post,PK_diagrm_post,PK_nodiagram_post,CKPK_post,CK_pre,PK_pre,PK_diagram_pre,PK_nodiagram_pre,CKPK_pre
bigalpaca,alldiagram,3,2,1,1,5,4,1,0,1,5
bigant,alldiagram,6,3,1,2,9,2,1,0,1,3
bigbat,alldiagram,1,2,0,2,3,1,0,0,0,1
bigbird,alldiagram,2,7,3,4,9,1,5,3,2,6
bigbison,alldiagram,5,7,3,4,12,4,5,2,3,9
bigcat,alldiagram,4,6,2,4,10,3,7,3,4,10
bigdeer,alldiagram,3,5,3,2,8,3,4,1,3,7
bigdog,alldiagram,6,7,3,4,13,6,7,3,4,13
bigduck,alldiagram,4,7,3,4,11,4,3,1,2,7
bigeagle,alldiagram,1,6,3,3,7,1,7,3,4,8
bighorse,alldiagram,3,4,1,3,7,4,7,3,4,11
biglion,alldiagram,2,1,0,1,3,2,2,0,2,4
bigmonkey,alldiagram,3,0,0,0,3,5,1,1,0,6
bigotter,alldiagram,2,1,0,1,3,0,0,0,0,0
bigrabbit,alldiagram,5,6,3,3,11,4,3,1,2,7
bigshark,alldiagram,4,3,1,2,7,1,4,1,3,5
fastalpaca,interleaved,4,5,2,3,9,2,3,1,2,5
fastbat,interleaved,2,0,0,0,2,4,0,0,0,4
fastbird,interleaved,4,2,1,1,6,2,3,1,2,5
fastbison,interleaved,5,7,3,4,12,5,6,3,3,11
fastcat,interleaved,5,7,3,4,12,4,6,3,3,10
fastdragon,interleaved,3,1,0,1,4,3,3,1,2,6
fastduck,interleaved,2,2,1,1,4,3,1,0,1,4
fastfish,interleaved,3,3,1,2,6,2,5,3,2,7
fasthorse,interleaved,3,2,1,1,5,4,3,1,2,7
fastkoala,interleaved,0,3,1,2,3,2,3,1,2,5
fastlion,interleaved,4,4,2,2,8,5,2,1,1,7
fastowl,interleaved,0,2,1,1,2,3,3,1,2,6
fastrabbit,interleaved,1,0,0,0,1,2,0,0,0,2
fastshark,interleaved,4,3,1,2,7,5,3,1,2,8
slowalpaca,interleaved,4,0,0,0,4,3,0,0,0,3
slowant,interleaved,5,7,3,4,12,4,6,3,3,10
slowbat,interleaved,2,0,0,0,2,0,0,0,0,0
slowbear,interleaved,0,0,0,0,0,2,4,0,4,6
slowbird,interleaved,5,7,3,4,12,4,6,2,4,10
slowbison,interleaved,2,4,2,2,6,3,5,2,3,8
slowcat,interleaved,5,7,3,4,12,3,5,2,3,8
slowdeer,interleaved,3,5,1,4,8,3,3,0,3,6
slowdog,interleaved,3,2,1,1,5,3,1,0,1,4
slowdragon,interleaved,3,2,1,1,5,4,3,1,2,7
slowfish,interleaved,3,2,0,2,5,3,3,1,2,6
slowlion,interleaved,1,0,0,0,1,0,1,0,1,1
slowmonkey,interleaved,2,0,0,0,2,0,0,0,0,0
slowotter,interleaved,2,1,0,1,3,3,1,0,1,4
slowowl,interleaved,2,2,0,2,4,1,3,1,2,4
slowrabbit,interleaved,2,4,2,2,6,4,3,1,2,7
slowshark,interleaved,3,0,0,0,3,1,0,0,0,1
slowswan,interleaved,1,7,3,4,8,2,7,3,4,9
smallbee,alldiagram,0,6,3,3,6,3,4,3,1,7
smallbird,alldiagram,5,6,2,4,11,5,5,2,3,10
smallbison,alldiagram,3,0,0,0,3,4,3,1,2,7
smallcat,alldiagram,5,5,2,3,10,3,6,2,4,9
smalldeer,alldiagram,4,6,2,4,10,3,7,3,4,10
smalldog,alldiagram,5,1,0,1,6,4,1,0,1,5
smalldragon,alldiagram,4,2,1,1,6,3,3,1,2,6
smalleagle,alldiagram,2,0,0,0,2,0,0,0,0,0
smallhorse,alldiagram,3,2,0,2,5,3,5,1,4,8
smallkoala,alldiagram,4,3,2,1,7,4,5,2,3,9
smalllion,alldiagram,3,3,1,2,6,3,4,2,2,7
smallmonkey,alldiagram,3,7,3,4,10,4,6,2,4,10
smallotter,alldiagram,2,5,2,3,7,3,3,0,3,6
smallowl,alldiagram,1,1,0,1,2,0,0,0,0,0
smallrabbit,alldiagram,3,0,0,0,3,2,3,1,2,5
smallshark,alldiagram,2,0,0,0,2,1,0,0,0,1
smallsheep,alldiagram,6,7,3,4,13,3,2,0,2,5
