Row,Sample,username,Problem Hierarchy,Problem Name,Problem View,Problem Start Time,Problem End Time,Latency (sec),Steps Missing Start Times,Hints,Incorrects,Corrects,Avg Corrects,Steps,Avg Assistance Score,Correct First Attempts,Condition,KCs (Default),Steps without KCs (Default),KC List (Default),KCs (Single-KC),Steps without KCs (Single-KC),KC List (Single-KC),KCs (Unique-step),Steps without KCs (Unique-step),KC List (Unique-step),prob_pre,condition,prob_num,group
1,All Data,bigalpaca,"Assignment red, ProblemSet Red Level 1!",xplus2eq6-diagrams-first,1,2021-05-12T13:02:00Z,2021-05-12T13:08:00Z,360,0,1,58,5,0.833,6,9.833,1,none (none),5,2,"cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const",1,0,Single-KC,6,0,"KC15, KC25, KC284, KC319, KC504, KC538",xplus2eq6,alldiagram,1,odd_dia
2,All Data,bigalpaca,"Assignment red, ProblemSet Red Level 1!",xplus3eq5-diagrams-first,1,2021-05-12T13:08:00Z,2021-05-12T13:09:00Z,60,0,0,0,5,1,5,0,5,none (none),5,1,"cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const",1,0,Single-KC,5,0,"KC308, KC398, KC520, KC542, KC62",xplus3eq5,alldiagram,2,eve_dia
3,All Data,bigalpaca,"Assignment red, ProblemSet Red Level 1!",xplus3eq8-diagrams-first,1,2021-05-12T13:09:00Z,2021-05-12T13:09:00Z,0,0,0,0,5,1,5,0,5,none (none),5,1,"cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const",1,0,Single-KC,5,0,"KC122, KC494, KC550, KC566, KC90",xplus3eq8,alldiagram,3,odd_dia
4,All Data,bigalpaca,"Assignment red, ProblemSet Red Level 1!",xplus6eq8-diagrams-first,1,2021-05-12T13:10:00Z,2021-05-12T13:10:00Z,0,0,0,0,5,1,5,0,5,none (none),5,1,"cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const",1,0,Single-KC,5,0,"KC16, KC248, KC5, KC537, KC615",xplus6eq8,alldiagram,4,eve_dia
5,All Data,bigalpaca,"Assignment red, ProblemSet Red Level 1!",1plusxeq7-diagrams-first,1,2021-05-12T13:10:00Z,2021-05-13T12:23:00Z,83580,0,0,16,5,1,5,3.2,3,none (none),5,1,"cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const",1,0,Single-KC,5,0,"KC156, KC293, KC357, KC382, KC414",1plusxeq7,alldiagram,5,odd_dia
6,All Data,bigalpaca,"Assignment red, ProblemSet Red Level 1!",2plusxeq9-diagrams-first,1,2021-05-13T12:24:00Z,2021-05-13T12:24:00Z,0,0,0,0,5,1,5,0,5,none (none),5,1,"cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const",1,0,Single-KC,5,0,"KC167, KC214, KC374, KC544, KC619",2plusxeq9,alldiagram,6,eve_dia
7,All Data,bigalpaca,"Assignment red, ProblemSet Red Level 1!",5plusxeq7-diagrams-first,1,2021-05-13T12:24:00Z,2021-05-13T12:25:00Z,60,0,0,2,5,1,5,0.4,4,none (none),5,1,"cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const",1,0,Single-KC,5,0,"KC172, KC192, KC313, KC371, KC40",5plusxeq7,alldiagram,7,odd_dia
8,All Data,bigalpaca,"Assignment red, ProblemSet Red Level 1!",4plusxeq9-diagrams-first,1,2021-05-13T12:26:00Z,2021-05-13T12:26:00Z,0,0,1,0,5,1,5,0.2,4,none (none),5,1,"cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const",1,0,Single-KC,5,0,"KC163, KC254, KC506, KC556, KC61",4plusxeq9,alldiagram,8,eve_dia
9,All Data,bigalpaca,"Assignment red, ProblemSet Red Level 2!",8eqxplus3-diagrams-first,1,2021-05-13T12:27:00Z,2021-05-13T12:28:00Z,60,0,1,3,5,0.833,6,0.667,3,none (none),5,2,"cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const",1,0,Single-KC,5,1,"KC257, KC306, KC322, KC495, KC57",8eqxplus3,alldiagram,9,odd_dia
10,All Data,bigalpaca,"Assignment red, ProblemSet Red Level 2!",3eqxplus1-diagrams-first,1,2021-05-13T12:28:00Z,2021-05-13T12:28:00Z,0,0,0,0,5,1,5,0,5,none (none),5,1,"cancel-const, combine-like-const, selectd-given-eq, selectd-subtract-const, subtraction-const",1,0,Single-KC,5,0,"KC164, KC526, KC548, KC605, KC65",3eqxplus1,alldiagram,10,eve_dia
