username,group,div_comp,div_comp_steps,div_simp,div_simp_steps,sub_con,sub_con_steps,sub_var,sub_var_steps,tot_steps,num_solved,division_complex,division_simple,subtraction_const,subtraction_var
bigalpaca,eve_dia,0,0,17,18,19,19,11,11,192,24,NA,0.9444444444444444,1,1
bigalpaca,odd_dia,0,0,18,18,18,20,11,12,204,25,NA,1,0.9,0.9166666666666666
bigant,eve_dia,0,0,10,10,13,13,3,3,110,16,NA,1,1,1
bigant,odd_dia,0,2,9,9,10,13,3,3,114,17,0,1,0.7692307692307693,1
bigbat,eve_dia,0,0,2,2,9,9,0,0,59,9,NA,1,1,NA
bigbat,odd_dia,0,0,3,3,6,9,0,0,69,9,NA,1,0.6666666666666666,NA
bigbird,eve_dia,0,0,20,20,21,21,13,13,212,26,NA,1,1,1
bigbird,odd_dia,0,0,19,19,18,21,13,13,216,26,NA,1,0.8571428571428571,1
bigbison,eve_dia,0,0,16,16,17,17,9,9,170,22,NA,1,1,1
bigbison,odd_dia,0,0,15,15,16,17,9,11,176,23,NA,1,0.9411764705882353,0.8181818181818182
bigcat,eve_dia,0,0,12,12,12,13,4,5,164,19,NA,1,0.9230769230769231,0.8
bigcat,odd_dia,0,0,12,12,11,14,4,6,178,19,NA,1,0.7857142857142857,0.6666666666666666
bigdeer,eve_dia,0,0,20,20,21,21,13,13,214,26,NA,1,1,1
bigdeer,odd_dia,0,0,19,19,19,22,13,14,214,26,NA,1,0.8636363636363636,0.9285714285714286
bigdog,eve_dia,0,0,20,20,21,21,13,13,214,26,NA,1,1,1
bigdog,odd_dia,0,0,19,19,19,23,13,13,222,26,NA,1,0.8260869565217391,1
bigduck,eve_dia,0,0,15,15,16,16,6,8,189,21,NA,1,1,0.75
bigduck,odd_dia,0,0,14,14,15,16,6,8,186,21,NA,1,0.9375,0.75
bigeagle,eve_dia,0,0,0,0,6,6,0,0,31,6,NA,NA,1,NA
bigeagle,odd_dia,0,0,0,0,6,6,0,0,31,6,NA,NA,1,NA
bighorse,eve_dia,0,0,18,18,19,20,12,12,205,26,NA,1,0.95,1
bighorse,odd_dia,0,0,19,19,20,21,12,12,211,26,NA,1,0.9523809523809523,1
biglion,eve_dia,0,0,2,3,8,9,0,0,62,9,NA,0.6666666666666666,0.8888888888888888,NA
biglion,odd_dia,0,0,3,3,6,9,0,0,63,10,NA,1,0.6666666666666666,NA
bigmonkey,eve_dia,0,0,11,11,13,13,3,4,115,17,NA,1,1,0.75
bigmonkey,odd_dia,0,0,10,10,12,13,4,4,117,17,NA,1,0.9230769230769231,1
bigrabbit,eve_dia,0,0,18,18,19,19,11,11,192,24,NA,1,1,1
bigrabbit,odd_dia,0,0,17,17,19,19,11,11,189,24,NA,1,1,1
bigshark,eve_dia,0,0,16,16,14,16,9,9,168,21,NA,1,0.875,1
bigshark,odd_dia,0,0,15,15,16,17,8,9,168,22,NA,1,0.9411764705882353,0.8888888888888888
fastalpaca,eve_int,0,0,10,11,12,13,3,4,95,17,NA,0.9090909090909091,0.9230769230769231,0.75
fastalpaca,odd_int,0,0,9,10,10,13,4,4,138,17,NA,0.9,0.7692307692307693,1
