username,group,inc_dia,inc_sym,hints,num_solved,tot_time,tot_time_sym,prop_hint_steps,prop_first_try,prop_first_try_sym,avg_inc_sym,avg_hints_sym,avg_tps,avg_tps_sym
bigalpaca,eve_dia,4,5,1,24,1103.665,858,0.005208333333333333,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.008333333333333333,5.748255208333333,7.15
bigalpaca,odd_dia,16,415,3,25,1757.922,1253.59,0.014705882352941176,0.8774509803921569,0.875968992248062,3.2170542635658914,0.023255813953488372,8.617264705882354,9.717751937984495
bigant,eve_dia,10,2,2,16,796.173,347.339,0.01818181818181818,1,1,0.029411764705882353,0.029411764705882353,7.237936363636364,5.107926470588235
bigant,odd_dia,13,52,35,17,1527.004,1238.67,0.02631578947368421,0.8859649122807017,0.8450704225352113,0.7323943661971831,0.49295774647887325,13.394771929824561,17.44605633802817
bigbat,eve_dia,4,1,33,9,389.501,260.168,0.03389830508474576,0.9322033898305084,0.9230769230769231,0.02564102564102564,0.8461538461538461,6.601711864406779,6.670974358974359
bigbat,odd_dia,7,28,56,9,2049.168,1760.168,0.057971014492753624,0.8115942028985508,0.7916666666666666,0.5833333333333334,1.1666666666666667,29.698086956521742,36.67016666666667
bigbird,eve_dia,2,5,0,26,721.345,528.011,0,0.9952830188679245,1,0.03759398496240601,0,3.4025707547169812,3.9700075187969923
bigbird,odd_dia,6,45,6,26,1191.176,941.009,0.013888888888888888,0.9398148148148148,0.9197080291970803,0.3284671532846715,0.043795620437956206,5.514703703703703,6.868678832116789
bigbison,eve_dia,1,3,0,22,595.171,396.005,0,1,1,0.02830188679245283,0,3.5010058823529415,3.735896226415094
bigbison,odd_dia,5,48,19,23,1235.336,1022.169,0.022727272727272728,0.9318181818181818,0.9107142857142857,0.42857142857142855,0.16964285714285715,7.0189545454545454,9.126508928571429
bigcat,eve_dia,27,9,0,19,828.334,526.502,0,0.9390243902439024,0.9649122807017544,0.07894736842105263,0,5.050817073170731,4.618438596491227
bigcat,odd_dia,32,48,10,19,1528.173,1314.673,0.016853932584269662,0.8426966292134831,0.8503937007874016,0.3779527559055118,0.07874015748031496,8.585241573033707,10.35175590551181
bigdeer,eve_dia,1,1,0,26,1803.67,900.503,0,1,1,0.007462686567164179,0,8.428364485981309,6.720171641791045
bigdeer,odd_dia,8,13,16,26,2234.995,1248.996,0.009345794392523364,0.9579439252336449,0.9477611940298507,0.09701492537313433,0.11940298507462686,10.443901869158879,9.320865671641792
bigdog,eve_dia,3,4,0,26,1064.67,630.338,0,0.9953271028037384,1,0.029850746268656716,0,4.975093457943926,4.7040149253731345
bigdog,odd_dia,6,16,20,26,1683.839,1164.506,0.018018018018018018,0.9324324324324325,0.8951048951048951,0.11188811188811189,0.13986013986013987,7.58486036036036,8.1433986013986015
bigduck,eve_dia,2,17,8,21,1326.282,1144.783,0.010582010582010581,0.9735449735449735,0.9612403100775194,0.13178294573643412,0.06201550387596899,7.017365079365079,8.874286821705425
bigduck,odd_dia,8,44,38,21,1953.698,1682.196,0.010752688172043012,0.8655913978494624,0.8267716535433071,0.3464566929133858,0.2992125984251969,10.503752688172044,13.24563779527559
bigeagle,eve_dia,2,9,4,6,499.998,230.498,0.03225806451612903,0.9354838709677419,0.8947368421052632,0.47368421052631576,0.21052631578947367,16.128967741935483,12.131473684210526
bigeagle,odd_dia,10,5,1,6,740.6659999999999,595.1659999999999,0.03225806451612903,0.8709677419354839,0.8421052631578947,0.2631578947368421,0.05263157894736842,23.892451612903223,31.32452631578947
bighorse,eve_dia,7,18,4,26,1050.143,820.243,0.004878048780487805,0.9560975609756097,0.9384615384615385,0.13846153846153847,0.03076923076923077,5.122648780487805,6.309561538461539
bighorse,odd_dia,25,14,5,26,974.84,593.173,0.004739336492890996,0.95260663507109,0.9473684210526315,0.10526315789473684,0.03759398496240601,4.620094786729858,4.459947368421052
biglion,eve_dia,10,22,21,9,1382.666,1114.333,0.03225806451612903,0.8225806451612904,0.7560975609756098,0.5365853658536586,0.5121951219512195,22.30106451612903,27.17885365853659
biglion,odd_dia,8,26,21,10,1324.669,1016.335,0.06349206349206349,0.7777777777777778,0.675,0.65,0.525,21.026492063492064,25.408375
bigmonkey,eve_dia,5,75,5,17,649.566,450.566,0.02608695652173913,0.9652173913043478,0.9428571428571428,1.0714285714285714,0.07142857142857142,5.6484000000000005,6.436657142857142
bigmonkey,odd_dia,5,3,5,17,604.665,397.331,0.017094017094017096,0.9743589743589743,0.958904109589041,0.0410958904109589,0.0684931506849315,5.168076923076923,5.4428904109589045
bigrabbit,eve_dia,1,3,0,24,958.669,588.669,0,0.9947916666666666,1,0.025,0,4.993067708333333,4.905575
bigrabbit,odd_dia,1,3,0,24,1391.004,821.504,0,0.9947089947089947,0.9915254237288136,0.025423728813559324,0,7.359809523809523,6.961898305084746
bigshark,eve_dia,20,30,6,21,1202.757,806.924,0.005952380952380952,0.9583333333333334,0.9523809523809523,0.2857142857142857,0.05714285714285714,7.159267857142858,7.684990476190476
bigshark,odd_dia,19,23,16,22,1278.338,1004.005,0.005952380952380952,0.9583333333333334,0.9428571428571428,0.21904761904761905,0.1523809523809524,7.609154761904762,9.56195238095238
fastalpaca,eve_int,0,13,0,17,1485,1485,0,0.9157894736842105,0.9157894736842105,0.1368421052631579,0,15.631578947368421,15.631578947368421
fastalpaca,odd_int,21,36,11,17,2426.003,1924.67,0.014492753623188406,0.7898550724637681,0.851063829787234,0.3829787234042553,0.11702127659574468,17.57973188405797,20.475212765957448
fastbat,eve_int,0,118,68,16,1258.333,1258.333,0.07446808510638298,0.723404255319149,0.723404255319149,1.2553191489361701,0.723404255319149,13.386521276595746,13.386521276595746
fastbat,odd_int,45,129,217,17,2213.333,1876.5,0.0916030534351145,0.6412213740458015,0.5681818181818182,1.4659090909090908,2.465909090909091,16.895671755725193,21.323863636363637
fastbird,eve_int,0,18,70,18,755.666,755.666,0.06557377049180328,0.9016393442622951,0.9016393442622951,0.14754098360655737,0.5737704918032787,6.193983606557378,6.193983606557378
fastbird,odd_int,16,42,146,18,1688.749,1456.917,0.07865168539325842,0.8089887640449438,0.7692307692307693,0.3230769230769231,1.123076923076923,9.48735393258427,11.207053846153846
fastbison,eve_int,0,12,2,24,862,862,0.005649717514124294,0.9774011299435028,0.9774011299435028,0.06779661016949153,0.011299435028248588,4.870056497175141,4.870056497175141
fastbison,odd_int,5,15,0,24,1040.672,698.172,0,0.9417989417989417,0.923728813559322,0.1271186440677966,0,5.506201058201058,5.91671186440678
fastcat,eve_int,0,46,3,18,924,924,0.025,0.825,0.825,0.575,0.0375,11.55,11.55
fastcat,odd_int,9,51,13,19,1427.827,1105.494,0.022556390977443608,0.8796992481203008,0.8072289156626506,0.6144578313253012,0.1566265060240964,10.735541353383459,13.319204819277108
fastdragon,eve_int,0,39,10,15,1299.5,1299.5,0.045454545454545456,0.8333333333333334,0.8333333333333334,0.5909090909090909,0.15151515151515152,19.689393939393938,19.689393939393938
fastdragon,odd_int,9,32,24,16,2065.664,1630.998,0.06140350877192982,0.8333333333333334,0.7397260273972602,0.4383561643835616,0.3287671232876712,18.11985964912281,22.342438356164383
fastduck,eve_int,0,5,6,21,754,754,0.007042253521126761,0.971830985915493,0.971830985915493,0.035211267605633804,0.04225352112676056,5.309859154929577,5.309859154929577
fastduck,odd_int,11,116,69,22,1725.32,1343.07,0.03636363636363636,0.85,0.8125,0.725,0.43125,7.842363636363636,8.3941875
fastfish,eve_int,0,7,2,6,481.5,481.5,0.043478260869565216,0.8695652173913043,0.8695652173913043,0.30434782608695654,0.08695652173913043,20.934782608695652,20.934782608695652
fastfish,odd_int,12,64,26,7,1974.335,1756.834,0.061224489795918366,0.6122448979591837,0.5142857142857142,1.8285714285714285,0.7428571428571429,40.29255102040816,50.195257142857145
fasthorse,eve_int,0,11,2,9,1095,1095,0.05714285714285714,0.8,0.8,0.3142857142857143,0.05714285714285714,31.285714285714285,31.285714285714285
fasthorse,odd_int,2,20,3,9,812.168,615.501,0.017857142857142856,0.8214285714285714,0.7428571428571429,0.5714285714285714,0.08571428571428572,14.503,17.585742857142858
fastkoala,eve_int,0,3,0,14,482,482,0,0.9821428571428571,0.9821428571428571,0.05357142857142857,0,8.607142857142858,8.607142857142858
fastkoala,odd_int,6,14,5,15,1557.328,1042.162,0.02,0.86,0.8064516129032258,0.22580645161290322,0.08064516129032258,15.57328,16.809064516129034
fastlion,eve_int,0,28,14,18,558,558,0.06976744186046512,0.8837209302325582,0.8837209302325582,0.32558139534883723,0.16279069767441862,6.488372093023256,6.488372093023256
fastlion,odd_int,40,80,57,18,1919.753,1675.918,0.015748031496062992,0.8267716535433071,0.825,1,0.7125,15.116165354330708,20.948974999999997
fastowl,eve_int,0,78,5,18,944,944,0.012345679012345678,0.8148148148148148,0.8148148148148148,0.9629629629629629,0.06172839506172839,11.654320987654321,11.654320987654321
fastowl,odd_int,33,100,9,18,1889.034,1605.368,0.007936507936507936,0.8174603174603174,0.7721518987341772,1.2658227848101267,0.11392405063291139,14.992333333333335,20.321113924050632
