"username","condition","CK_post","PK_post","PK_diagrm_post","PK_nodiagram_post","CKPK_post","CK_pre","PK_pre","PK_diagram_pre","PK_nodiagram_pre","CKPK_pre","s_ckpk","s_ck","s_pk"
"bigalpaca","alldiagram",3,2,1,1,5,4,1,0,1,5,0,-0.5,0.166666666666667
"bigant","alldiagram",6,3,1,2,9,2,1,0,1,3,0.6,1,0.333333333333333
"bigbat","alldiagram",1,2,0,2,3,1,0,0,0,1,0.166666666666667,0,0.285714285714286
"bigbird","alldiagram",2,7,3,4,9,1,5,3,2,6,0.428571428571429,0.2,1
"bigbison","alldiagram",5,7,3,4,12,4,5,2,3,9,0.75,0.5,1
"bigcat","alldiagram",4,6,2,4,10,3,7,3,4,10,0,0.333333333333333,
"bigdeer","alldiagram",3,5,3,2,8,3,4,1,3,7,0.166666666666667,0,0.333333333333333
"bigdog","alldiagram",6,7,3,4,13,6,7,3,4,13,,,
"bigduck","alldiagram",4,7,3,4,11,4,3,1,2,7,0.666666666666667,0,1
"bigeagle","alldiagram",1,6,3,3,7,1,7,3,4,8,-0.2,0,
"bighorse","alldiagram",3,4,1,3,7,4,7,3,4,11,-2,-0.5,
"biglion","alldiagram",2,1,0,1,3,2,2,0,2,4,-0.111111111111111,0,-0.2
"bigmonkey","alldiagram",3,0,0,0,3,5,1,1,0,6,-0.428571428571429,-2,-0.166666666666667
"bigotter","alldiagram",2,1,0,1,3,0,0,0,0,0,0.230769230769231,0.333333333333333,0.142857142857143
"bigrabbit","alldiagram",5,6,3,3,11,4,3,1,2,7,0.666666666666667,0.5,0.75
"bigshark","alldiagram",4,3,1,2,7,1,4,1,3,5,0.25,0.6,-0.333333333333333
"fastalpaca","interleaved",4,5,2,3,9,2,3,1,2,5,0.5,0.5,0.5
"fastbat","interleaved",2,0,0,0,2,4,0,0,0,4,-0.222222222222222,-1,0
"fastbird","interleaved",4,2,1,1,6,2,3,1,2,5,0.125,0.5,-0.25
"fastbison","interleaved",5,7,3,4,12,5,6,3,3,11,0.5,0,1
"fastcat","interleaved",5,7,3,4,12,4,6,3,3,10,0.666666666666667,0.5,1
"fastdragon","interleaved",3,1,0,1,4,3,3,1,2,6,-0.285714285714286,0,-0.5
"fastduck","interleaved",2,2,1,1,4,3,1,0,1,4,0,-0.333333333333333,0.166666666666667
"fastfish","interleaved",3,3,1,2,6,2,5,3,2,7,-0.166666666666667,0.25,-1
"fasthorse","interleaved",3,2,1,1,5,4,3,1,2,7,-0.333333333333333,-0.5,-0.25
"fastkoala","interleaved",0,3,1,2,3,2,3,1,2,5,-0.25,-0.5,0
"fastlion","interleaved",4,4,2,2,8,5,2,1,1,7,0.166666666666667,-1,0.4
"fastowl","interleaved",0,2,1,1,2,3,3,1,2,6,-0.571428571428571,-1,-0.25
"fastrabbit","interleaved",1,0,0,0,1,2,0,0,0,2,-0.0909090909090909,-0.25,0
"fastshark","interleaved",4,3,1,2,7,5,3,1,2,8,-0.2,-1,0
