username,num_solved,total_sym_step,inc_dia,inc_sym,hints,hints_sym,first_try,tot_time,adj_tot_time,condition,CK_post,PK_post,CKPK_pre,perc_hint_steps,perc_first_try,avg_inc_sym,avg_hints_sym,avg_time_per_step,adj_avg_tps
bigalpaca,51,249,20,420,4,4,363,345312.681999207,2472.1416454290957,alldiagram,3,2,5,0.010101010101010102,0.9166666666666666,1.6867469879518073,0.01606425702811245,1386.79791967553,6.242781932901757
bigant,33,139,23,54,37,37,211,85622.9239990711,1711.4474477966628,alldiagram,6,3,3,0.022321428571428572,0.9419642857142857,0.38848920863309355,0.26618705035971224,615.992258986123,7.640390391949388
bigbat,18,87,11,29,89,89,111,88671.3220002651,1259.116498385999,alldiagram,1,2,1,0.046875,0.8671875,0.3333333333333333,1.0229885057471264,1019.2105977042,9.836847643640617
bigbird,54,270,8,50,6,6,414,1038014.6619997,1893.1786807802569,alldiagram,2,7,6,0.007009345794392523,0.9672897196261683,0.18518518518518517,0.022222222222222223,3844.49874814705,4.423314674720226
bigbison,47,218,6,51,19,19,334,1946.84800124168,1563.7625509222348,alldiagram,5,7,9,0.011560693641618497,0.9653179190751445,0.23394495412844038,0.0871559633027523,8.93049541853983,4.51954494486195
bigcat,38,241,59,57,10,10,304,87845.5189988613,2233.5533233111432,alldiagram,4,6,10,0.008771929824561403,0.8888888888888888,0.23651452282157676,0.04149377593360996,364.504228211043,6.530857670500419
bigdeer,53,268,9,14,16,16,419,527886.144000292,2394.0497278633657,alldiagram,3,5,7,0.004672897196261682,0.9789719626168224,0.05223880597014925,0.05970149253731343,1969.72441791154,5.5935741305218825
bigdog,56,277,9,20,20,20,420,525184.328000069,2237.7231474080986,alldiagram,6,7,13,0.009174311926605505,0.963302752293578,0.07220216606498195,0.07220216606498195,1895.97230324935,5.1323925399268315
bigduck,42,256,10,61,46,46,345,3542.71900010109,3247.1381164391837,alldiagram,4,7,7,0.010666666666666666,0.92,0.23828125,0.1796875,13.8387460941449,8.659034977171157
bigeagle,12,38,12,14,5,5,56,86436.3009991646,643.1005497350295,alldiagram,1,6,8,0.03225806451612903,0.9032258064516129,0.3684210526315789,0.13157894736842105,2274.63949997802,10.372589511855315
bighorse,55,263,32,32,9,9,397,1035338.97600102,1579.4898700761878,alldiagram,3,4,11,0.004807692307692308,0.9543269230769231,0.12167300380228137,0.034220532319391636,3936.65009886321,3.7968506492216054
biglion,19,81,18,48,42,42,100,88139.888999939,1572.8928440767527,alldiagram,2,1,4,0.048,0.8,0.5925925925925926,0.5185185185185185,1088.14677777702,12.583142752614021
bigmonkey,34,143,10,78,10,10,225,1180.14399909973,1180.1439990997314,alldiagram,3,0,6,0.021551724137931036,0.9698275862068966,0.5454545454545454,0.06993006993006994,8.25275523845966,5.086827582326428
bigrabbit,48,238,2,6,0,0,379,2023.17899942398,1823.866399327914,alldiagram,5,6,7,0,0.994750656167979,0.025210084033613446,0,8.50075209842009,4.7870509168711655
bigshark,44,210,39,53,22,22,322,2398.62000012398,2364.0950000286102,alldiagram,4,3,5,0.005952380952380952,0.9583333333333334,0.2523809523809524,0.10476190476190476,11.4220000005904,7.035997023894673
fastalpaca,34,189,21,49,11,11,196,87077.7630004883,1967.0784155430397,interleaved,4,5,5,0.008583690987124463,0.8412017167381974,0.25925925925925924,0.0582010582010582,460.728904764488,8.44239663323193
fastbat,36,182,45,247,285,285,152,172388.867999792,3586.2215308533114,interleaved,2,0,4,0.08444444444444445,0.6755555555555556,1.3571428571428572,1.565934065934066,947.19158241644,15.93876235934805
fastbird,36,252,16,60,216,216,254,430472.971000671,2264.236893564548,interleaved,4,2,5,0.07333333333333333,0.8466666666666667,0.23809523809523808,0.8571428571428571,1708.22607539949,7.547456311881827
fastbison,49,295,5,27,2,2,351,1733.29699921608,1730.223999261856,interleaved,5,7,11,0.00273224043715847,0.9590163934426229,0.09152542372881356,0.006779661016949152,5.8755830481901,4.72738797612529
fastcat,37,163,9,97,16,16,183,344799.771000147,2091.0628069625245,interleaved,5,7,10,0.023474178403755867,0.8591549295774648,0.5950920245398773,0.09815950920245399,2115.33601840581,9.817196276819365
fastdragon,31,139,9,71,34,34,150,2899.78000020981,2318.3685832301776,interleaved,3,1,6,0.05555555555555555,0.8333333333333334,0.5107913669064749,0.2446043165467626,20.8617266202144,12.879825462389876
fastduck,50,302,11,121,75,75,325,261009.930000067,2585.712020675253,interleaved,2,2,4,0.024861878453038673,0.8977900552486188,0.40066225165562913,0.24834437086092714,864.271291390949,7.14285088584324
fastfish,16,58,12,71,28,28,50,88298.4320001602,1401.8831680071353,interleaved,3,3,7,0.05555555555555555,0.6944444444444444,1.2241379310344827,0.4827586206896552,1522.38675862345,19.47059955565466
fasthorse,19,70,2,31,5,5,74,171897.055000305,985.2221794536986,interleaved,3,2,7,0.03296703296703297,0.8131868131868132,0.44285714285714284,0.07142857142857142,2455.67221429007,10.826617356634051
fastkoala,30,118,6,17,5,5,141,1789.51099920273,1277.8689322392147,interleaved,0,3,5,0.01282051282051282,0.9038461538461539,0.1440677966101695,0.0423728813559322,15.1653474508706,8.19146751435394
fastlion,38,166,40,108,71,71,181,88079.2469997406,1916.645168908172,interleaved,4,4,7,0.03755868544600939,0.8497652582159625,0.6506024096385542,0.42771084337349397,530.597873492413,8.998334126329446
fastowl,36,160,33,178,14,14,169,88288.4409997463,2581.4433799152243,interleaved,0,2,6,0.00966183574879227,0.8164251207729468,1.1125,0.0875,551.802756248415,12.47074096577403
fastrabbit,2,7,4,23,13,13,1,652.323000192642,341.91703356107075,interleaved,1,0,2,0.2222222222222222,0.1111111111111111,3.2857142857142856,1.8571428571428572,93.1890000275203,37.99078150678564
fastshark,38,167,13,58,21,21,200,2401.64199948311,1959.445632382234,interleaved,4,3,8,0.013761467889908258,0.9174311926605505,0.3473053892215569,0.12574850299401197,14.3810898172641,8.988282717349698
slowalpaca,17,98,11,83,164,164,74,345193.891999483,2582.9573965652344,interleaved,4,0,3,0.12931034482758622,0.6379310344827587,0.8469387755102041,1.6734693877551021,3522.38665305595,22.266874108320987
