username,num_solved,hint,incs,condition,CK_post,PK_post,CKPK_pre
bigalpaca,51,0.010101010101010102,1.1111111111111112,alldiagram,3,2,5
bigant,33,0.16517857142857142,0.34375,alldiagram,6,3,3
bigbat,18,0.6953125,0.3125,alldiagram,1,2,1
bigbird,54,0.014018691588785047,0.13551401869158877,alldiagram,2,7,6
bigbison,47,0.05491329479768786,0.16473988439306358,alldiagram,5,7,9
bigcat,38,0.029239766081871343,0.3391812865497076,alldiagram,4,6,10
bigdeer,53,0.037383177570093455,0.053738317757009345,alldiagram,3,5,7
bigdog,56,0.045871559633027525,0.06651376146788991,alldiagram,6,7,13
bigduck,42,0.12266666666666666,0.18933333333333333,alldiagram,4,7,7
bigeagle,12,0.08064516129032258,0.41935483870967744,alldiagram,1,6,8
bighorse,55,0.021634615384615384,0.15384615384615385,alldiagram,3,4,11
biglion,19,0.336,0.528,alldiagram,2,1,4
bigmonkey,34,0.04310344827586207,0.3793103448275862,alldiagram,3,0,6
bigrabbit,48,0,0.02099737532808399,alldiagram,5,6,7
bigshark,44,0.06547619047619048,0.27380952380952384,alldiagram,4,3,5
fastalpaca,34,0.04721030042918455,0.30042918454935624,interleaved,4,5,5
fastbat,36,1.2666666666666666,1.2977777777777777,interleaved,2,0,4
fastbird,36,0.72,0.25333333333333335,interleaved,4,2,5
fastbison,49,0.00546448087431694,0.08743169398907104,interleaved,5,7,11
fastcat,37,0.07511737089201878,0.49765258215962443,interleaved,5,7,10
fastdragon,31,0.18888888888888888,0.4444444444444444,interleaved,3,1,6
fastduck,50,0.20718232044198895,0.36464088397790057,interleaved,2,2,4
fastfish,16,0.3888888888888889,1.1527777777777777,interleaved,3,3,7
fasthorse,19,0.054945054945054944,0.3626373626373626,interleaved,3,2,7
fastkoala,30,0.03205128205128205,0.14743589743589744,interleaved,0,3,5
fastlion,38,0.3333333333333333,0.6948356807511737,interleaved,4,4,7
fastowl,36,0.06763285024154589,1.0193236714975846,interleaved,0,2,6
fastrabbit,2,1.4444444444444444,3,interleaved,1,0,2
fastshark,38,0.0963302752293578,0.3256880733944954,interleaved,4,3,8
slowalpaca,17,1.4137931034482758,0.8103448275862069,interleaved,4,0,3
slowant,37,0.005934718100890208,0.11275964391691394,interleaved,5,7,10
slowbat,5,1.8333333333333333,1.0666666666666667,interleaved,2,0,0
slowbear,18,0.19230769230769232,1.435897435897436,interleaved,0,0,6
slowbird,41,0.02364864864864865,0.33783783783783783,interleaved,5,7,10
slowbison,49,0.12111801242236025,0.35403726708074534,interleaved,2,4,8
slowcat,52,0.049132947976878616,0.06358381502890173,interleaved,5,7,8
slowdeer,38,0.1864406779661017,0.288135593220339,interleaved,3,5,6
slowdog,24,0.025,0.05,interleaved,3,2,4
slowdragon,45,0.2323529411764706,0.8,interleaved,3,2,7
slowfish,47,0.41324921135646686,1.2176656151419558,interleaved,3,2,6
slowlion,17,1.0490196078431373,1.588235294117647,interleaved,1,0,1
slowmonkey,30,1.0591715976331362,1.5207100591715976,interleaved,2,0,0
slowotter,31,1.2008032128514057,0.5301204819277109,interleaved,2,1,4
slowowl,35,0.208,1.044,interleaved,2,2,4
slowrabbit,43,0.06583072100313479,0.15987460815047022,interleaved,2,4,7
slowshark,4,0.5333333333333333,4,interleaved,3,0,1
slowswan,8,0.11764705882352941,0.11764705882352941,interleaved,1,7,9
smallbee,33,0.26804123711340205,1.231958762886598,alldiagram,0,6,7
smallbird,52,0,0.04491725768321513,alldiagram,5,6,10
smallbison,32,0,2.1724137931034484,alldiagram,3,0,7
smallcat,48,0,0.02368421052631579,alldiagram,5,5,9
smalldeer,30,0.018604651162790697,0.07906976744186046,alldiagram,4,6,10
smalldog,17,0.21929824561403508,0.11403508771929824,alldiagram,5,1,5
smalldragon,26,0,0.4186046511627907,alldiagram,4,2,6
smalleagle,14,0.15584415584415584,0.24675324675324675,alldiagram,2,0,0
smallhorse,52,0,0.02122641509433962,alldiagram,3,2,8
smallkoala,42,0.026119402985074626,0.23134328358208955,alldiagram,4,3,9
smalllion,52,0.002347417840375587,0.14084507042253522,alldiagram,3,3,7
smallmonkey,10,0.22641509433962265,0.9056603773584906,alldiagram,3,7,10
smallotter,49,0.005221932114882507,0.044386422976501305,alldiagram,2,5,6
smallowl,40,0.046822742474916385,0.27424749163879597,alldiagram,1,1,0
smallshark,12,0.3548387096774194,0.9032258064516129,alldiagram,2,0,1
smallsheep,18,0.16363636363636364,0.23636363636363636,alldiagram,6,7,5
